title,price,rating,reviews,discount,brand,product_url
"realme NARZO 80 Pro 5G (Speed Silver,8GB+128GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",17999.0,4.3,2035,25.0,realme,https://www.amazon.in/realme-Segments-Dimensity-HyperGlow-Waterproof/dp/B0F1DBWL8D/ref=sr_1_21
Slide and Learn Multiplication Book for Kids | Interactive Pull Tab Activity | Colorful Times Tables 1 to 10 | Math Practice Book | Fun Learning for Early Education,849.0,4.8,5,58.0,,https://aax-eu-zaz.amazon.in/x/c/JN2dfIKDHn50PFEWaMd7pn0AAAGcakOuSAoAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA3P6tA/clv1c_ek-wBPHTLcbWrnMRtu5T6FwLsE0LeOScssLDcyLCm7Q5-dWTElZiAJqGshxeQxN2fUU273PJszcwUIPnuqFRiyO5UYWmGr__QBqoIiMdGUYmTQkKiGqhUG8vzrGkpnAy3czB6XiJwyd2pq3zpR5_55M4EJydnDXKk8VEjbOq345LmcrenpowyNumspufUzNvm-vCSLtWIYXO1MLph5FQc-z1DFelDky8HshicQXKgHMGg7iDf-R786TwMmvMlvHatr9o28l62T62yPd-NAkE1dFkSP45BuPL-uPhlrq72lDNDJZBMdTaPMNemAG68W2d-UUqEahHjZABH2-DjVctyEfn8zTsK1jqXYM5iS6DlxGEZF_337ShH0-3Dm71CVTQIpT-7GzQ0-IHW33FZLBJgIuinW9bqCRdN3Y3SNeFMQC8bjWEpzX_fjvY034HIad1HHBwbmmESTrnwLO0ERi-p5tqEbq6MJrYZoyp18ILo52BekZS3UhzQDwSviCueZJ4GFfYAuz5NdpYlgUttvBOqTLBdimjSezOFQ1lOGKACOlIN-2K-y8lKCcukKSlo0Os9UDIrxfSlnUNra2jR5iESf3x7ZpE5YIi6afBwc_CkEwkuWLkiigKgNjAg-Ummwp_fNdPZASXSXAaybDur5E58gACLIpRFZPfpV2aGAx_nXokSedGxNDmcFkuuxfCSk0VpZOXj6xb-pjhqCaKbEp69bul0ZbfTQEe8Q32QJBq6E6wU7y6YTdpBkQFRC7bZDnvh1WAB9AxUUq1paYK74hZdRPPR2bKSNLR1ULMjDuSmFSProPCsrnuZAG1BmHKe0PgxCGCwISYwoTo0MNtN_77fS2B7nljsk7HXQjrUPUudzC8pADW0RQEy4DWtGh3FpgJ8qfatsfkKGSbC3yjlRxSs0nw8Agjp3lxfHLPafFBwPSl5guQo4KTHEQ2mEFPAiSB_fWsOfIqCXe44i1d6_ta65eQ8BoO9DTA_RTVedlcFo6fY5iz0s4iIYmU3evRLhA6gk0fIwRvuO9UNGm3aN26CocsiIR-afs845mSMFxvS5wgzjqcQ50xZ5itL8sTlbrdOnX4ww_4eLVSN2aBOwDPxG33lsJ-Imm1rB4NxVMEmYLIVTDzZglCxTVHfMh-Bk4epCkzw8K73PNXktvj2VY6hBLv75-d44waPuofC5xio3VT1bXwj5MQciKj_DuHF-1TnYPsha21nLvjpIUaFCdw65YkXO38b-cEXhy8LmjHUu6ZKWNwAWFPYrowz22_IWKOa5CFhou5uB-S5l0k76TC9wt8Oqd5BLkuTdRe_3KwwAO6IjXQxD04kfFeFfojbs3a3v_hH-4lGygMIKBJghNicg9eorh0-rspEK54RnxTQPIK0HXjz_pBCkXNXPr2gXKD8TKZkeId9KRg5ifT2Jn_r4VVIRiqa6GePygjwe8fKmhIxM4Kglvu_q7UtZUYlFkl4tJunFzwzF12RZAZbGE4nVCb25Ey53NRdTH6bCDkP_rbULVnLkrG-Q5owySUpGRblDbTLaRXu-IDG0OpcrjXByVWXKYLm98MMrvz967PAbrN4li0lfsybZ3VjbuxuqanDmGyOsp7tfuKiCF-PBlu2GD3sBQbTlxeGg4lTeTJuIcA0cwnipR6lYzdBiLhgXGo45nUt4T6aAlkMajAexB0sShxuCpRZFs/https://www.amazon.in/Multiplication-Interactive-Activity-Colorful-Education/dp/B0G26V17NK/ref=sxbs_sbv_search_btf
"Swee10 Natural Stevia Sweetener Pouch 300g | Sugar Free | Plant Based | Zero Calorie Sugar Substitute | No Maltodextrin, No Aspartame | No Bitter After Taste | Zero Calories | Diabetic & Keto Friendly",489.0,4.2,351,5.0,Swee10,https://aax-eu-zaz.amazon.in/x/c/JOoWsqkBUZaHsrvEhSgkTiAAAAGcakN-YQoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICDANyDD/clv1c_ek-wBIf3FbbazjI3kId3r1eKTDKRmJFcJxWId3LMz5_jsSpjJEsluEcJZAmIiPrDvZZ-b07B90qaqKQfhRCeUWBUfyYo1-G6oEHnAi0Ry8MqjSAtKaP6eBiE19m1ompFPyizzkLunr4RAJ4mlFopM6OYBJW8lVz6wkTwlXerw4EXDat830YsqhAKlsnBO3evnbQj-XmomQ7D85zFZ6lyUmuW1nstEVfOgJrD7I-HsRzfTFtps9Ww5pUreUSX3u_nEaLs5-p684z-uO-kkN298h9ih8Zxptf_2_wA03rjCyvevYzfOe8R4KPCCc6o96uxHxCKAdQBEH93ZbmQHv8D26zIYElzi5G3Jnq80dAdINdCia4VU2SlkffEX9c3BqlEV2-ioWjxkQlOu9Ys_OMc-GFfOzSFCM6hfN4HoGGHkhjGYDTLVtVFhT9lk4ucAhWddLZMH4b9v14Xrei85TQX-cIzd31tvE3MkF93eCkiamQQswU51FTfFp0noQUxM3YnciBnV3SfzZg66v7XdZODiyLprvV_aSxk7XiBJ-IRp287tmh4-B5SnVEQMKXnv8O883Yd6EOYGhWRej_0vi4gCNn1FPblPRF2WuAYu_Ed8L184p0Q4HnCuUojHnqaBs29YMMNo4h44YIK3ES3fxqDv_z0pBtegsjLKvDRdQK8w3Cl9yeAzJalNduYUW7nYlUbkKdOIuwsyXyclBq4ygp92jtgpq0_mRx84d7TNcStFs3LwTyxbs2x_ZV079NtCOa4f5yKEUm6o0lEDchoXfS0n9Sd4r_KrCdUu4BADTjlHFcwEUNKKokfVHYhleSpjC-PVpNUrVPZucwfVmL78LnfwEnJqCJCuvuG-lxrkB0WuWaDAHXVBJihbuELXkrEJ8m1-F5UYR7i5_11AsY2uYPOdUGenNEkp0UwSo1b8KdHkleAQASQxDe1esE2jRexQs9VlN89tNW0pfL8VkXiFV70eUFM5S6KBgMwV4f9Bc2GlYEMe9IddIHKge2Q4Bx4Asb4lg6eV3s6wbpcJQTbmAdotq-BGeM5sHzWrqjTC-Fy0JtS-GSh6TRWjMGkw1NuGe9t6EJD_ZpT5OxHSoP4sQKgxpjSda2y2vWWebWpOyQbjU-7sfhKZrIGL_OkCCxHhqoBno7TQBopzEYTjgdZi5Kh7Z2vBkkVSCavu2OskCbcgEDhmY3jApTQ-UBZXzUwOQFAzlEQQkVzrG9migaFLgw6bXlmBXziXctpoLlYMSB8tXU6bFbHBTzBLLmPtHj15Pr5h8AvpB-kddtrxWc2VgTW9HlydVkHZqrtBltvXQ36GdfHRbplVyq14M0sjDC1YYr7ZlRshJkCPqp3G-ctsR4erb4msMKomLx1duXt19vYM4Xqv4DElezxtatZBQNsdl7LDECASX83k98JVfTrRbZBwc-Xa6lEE2H7RvILGsbTVRZZSqfgLrRKBK1bAnf0Lmuv505UCg3NcDa7d5QycTdMKJzO99lCcm3KzdmGfEmg_djsMQqYNppyDXcdq9qUfi00JpMKEVFU6VWqoQNPoKj9pxb1zpca1URlhP-79hWfaj7KEV-DNpdo-IC-v-vjoGxqh7MMquw0dHOj8vpDnWlP1S_buACFpZK5a4HtzB17kigc0oqZ8-VDLxaHmEf_Oepm8btGU_RSQR6JaJpbhb4_3c04F683Bz553ebtRwanpT-4E7I/https://www.amazon.in/Swee10-Natural-Sweetener-Non-GMO-Substitute-200g-Refill/dp/B0CJVFG5T3/ref=sxbs_sbv_search_btf
"realme NARZO 90 5G (Carbon Black,6GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust & Water Resistance",16999.0,4.2,267,11.0,realme,https://www.amazon.in/realme-Charging-4000nits-Brightest-Resistance/dp/B0G4B8957C/ref=sr_1_15
"Lava Blaze AMOLED 2 5G (Sparkling Black, 6 GB RAM, 128 GB Storage) | 6.67"" FHD+ AMOLED Display | MTK D7060 Processor | 50 MP Front Camera | LPDDR5 UFS 3.1 ROM | 5000 mAh | 33W Fast Charging",12999.0,4.2,75,19.0,Lava,https://www.amazon.in/Lava-Blaze-AMOLED-Sparkling-Black/dp/B0FH5D6VW9/ref=sr_1_29
"vivo Y100A 5G (Pacific Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",17998.0,4.0,125,40.0,vivo,https://www.amazon.in/Pacific-Storage-Additional-Exchange-Offers/dp/B07WDKLH2V/ref=sr_1_36
"Oppo A79 5G (Mystery Black, 8GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 50MP AI Rear Camera | 6.72"" FHD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers",16290.0,4.2,612,29.0,OPPO,https://www.amazon.in/Oppo-Mystery-SUPERVOOC-Additional-Exchange/dp/B0CL53S126/ref=sr_1_25
Slide and Learn Multiplication Book for Kids | Interactive Pull Tab Activity | Colorful Times Tables 1 to 10 | Math Practice Book | Fun Learning for Early Education,849.0,4.8,5,58.0,,https://aax-eu-zaz.amazon.in/x/c/JJuwtdD0u_QDuuWEI0NHtlUAAAGcakNZ9woAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDIgICDBSyzN/clv1c_ek-wBPHXbcbWXixXZLvfbmIzcdQ5IJcEmE107Yc_EZ9Y3t-L2bYHWuR3wMsGKGV23_KLrIIVWOvkiZrlmjKenSHy3rBy0oHzDBv8S2BRvwkVDyCtQkAJZoxi5-hehhJzUdpaM0FEwnSSW3fQZ58A9fV8YF6WrkUqks7o1D6WwCbO2OkbA4rqaP0F5ISyxKnvvtu-NZ3inBPirfxt1nrh82FWS0tyAV-72a1Wj37KCiKvijiof24iEKySEmPMlqH61r9om8l-WXZerru09n6S7jKALGSCPFkK-lDfsKV5Zvj3Kz9-TSj6fdZZkSg503NemN3RX4g6sP3AsaBSvOU1pdnS22qEGw1urkal0ejxQjYRpx3f601bwEKDDxWw5xN-faup5lOFclQPRFYMh8N3E_vvc6gqN3HIULu4gdpQ5FdXumqlTVtb8v0034OcunII7ih9JTPiaTWx8C7rapjRaSzkMOo9IVrGZ9qVP7s1VS6Es1YAPo1VwtbXis6rhp2qquw1WYqbrt15yWSbe1Ki1Nagn-ie19Cp5R25ulcAbDwAtRoDWOu_2_ZCiLirNPoa1965owJPmj7mRzb8gWhyBQUby8Df5fY1os7Ez1Xwwpob2t2DmnFe04dg4hnLIo2Ba1iFMdsx0udfnt21HRwEtct45aRUVf9r3zQLMxkykl339wRzWlLeo4dfkhaTMyQKeCcXmwWwlpWALcowPgC-vq1IV_y-aG_KobOIqJ_Jg0yR0B_ZgHBE8dHIpPD9qsLSOcn0ORu16KvwI3FLvNYcHw3V3M-Rc3lZzjdRWq1QrAbHX1zuC15ngrow1YMXc7bWBI9xGNjYPrvP4eNoV0Q_DVNTTfwFWQqbKUB4KHVRhgQrvsHEMsBF2OveRRNijReBH1NK0UUumwh3CbFdLCo2H7vTRuBLiPMIMQ1c2jIg5Ntsgf20sc07xn42yUHQEp-VA2Rg_sYs4Kjrma7CH2ByeW9ihGG3Pta-5g_-o6_k8Fp9aYCWS3O0QAI4bYPXjlCcXhpTAwVfuukqcqpmA9tRJTnwuAsNdYFb66mJ0JPBCViVXYo-6nvvWfbXxrvZEWazCoTZfDM4BasycKGbr1s1awM4VDRTJJJKNv2JmhjBz0lXCoDPiBDkUAIaihXkjRWJUiUXPEXUoCKxMYlJTi4NygRIgjLexD5UMaD4Qif-3v4NbUAAJ7wpQF04Zh_UaFH0OsMQ4H9vTHLVVAinyvq8whgYm7b_DQr60Jy66XbEEu2W6AYKegB8Xup1ASbZDuGWfwtXU_dnO0mI5Rz3zVSTNlvzIa3T-QU3WLi1ebrkVwVSTQn-mnVP2OF0oKFwXr7rClnDH_ivTL8QNz7OoNbwIhqDf-3yPzq34ieabRo9pY7g7yYoyM0cSkxwv9dCmISZS0tTSp-m97cEWHaoh49syyp0jg36G9RauxYlQwWhoPT29lkowpngtmb32MJOIX06o4TUQQ7Cx64wc8eIv8S3IwrUv8U1-N_XWzxEMD7xMiPbxdB5c_vkzuxJwI4ZaC3JvwyxGWJkAeZumQjVSFtaGGzcAejxWsCRzxKf-eMyJkkXrZmseDL_5K2yA4rI6XqVJ0VoUbl7BEBoQapEhKvdi3TH2eYlaPoebIS6PMYySnrR6Mi7q7gEH5EVTUr_w_BcqBiWB-M7OSPWiW2FuAQFLlwJQw/https://www.amazon.in/Multiplication-Interactive-Activity-Colorful-Education/dp/B0G26V17NK/ref=sxbs_sbv_search_btf
"realme 13 5G (Speed Green, 8GB RAM, 128GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | 6.72"" AMOLED Display | 45W Ultra Charging | Dimensity 6300 Processor",15999.0,4.2,261,27.0,Brand: realme,https://www.amazon.in/realme-Expandable-Charging-Dimensity-Processor/dp/B0DFNMB4Z3/ref=sr_1_24
"realme 15 Lite Smartphone 8+128GB Green, 6.67-inch Screen, 120Hz Display, 80W SuperVOOC, 5000mAh Battery, 50MP Camera, Dimensity 7300 Energy, IP65.",17999.0,4.5,609,,realme,https://www.amazon.in/realme-Smartphone-6-67-inch-SuperVOOC-Dimensity/dp/B0GHQQ68RK/ref=sr_1_36
"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger",17499.0,4.2,16854,,Samsung,https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_38
realme 14 Pro 5G Smartphone 6.77 Inch FHD+ Diaplay 120Hz Dimensity 7300 4nm Chip 8GB RAM 128GB ROM Android 15 45W Fast Charge Dual SIM Support NFC Fingerprint GPS WiFi (White),23499.0,,0,16.0,realme,https://www.amazon.in/realme-Smartphone-Diaplay-Dimensity-Fingerprint/dp/B0FK2JT1P9/ref=sr_1_14
"realme NARZO 90x 5G (Maroon Red,6GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",15499.0,4.3,454,9.0,realme,https://www.amazon.in/realme-7000mAh-Biggest-Battery-Charging/dp/B0GK8334CK/ref=sr_1_13
"realme NARZO 80 Pro 5G (Speed Silver,8GB+128GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",17999.0,4.3,2035,25.0,realme,https://www.amazon.in/realme-Segments-Dimensity-HyperGlow-Waterproof/dp/B0F1DBWL8D/ref=sr_1_20
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G &Alexa Hands-Free Capable",13999.0,4.2,137328,18.0,Redmi,https://www.amazon.in/Redmi-Note-Pro-Glacier-Storage/dp/B0784D862L/ref=sr_1_26
Slide and Learn Multiplication Book for Kids | Interactive Pull Tab Activity | Colorful Times Tables 1 to 10 | Math Practice Book | Fun Learning for Early Education,849.0,4.8,5,58.0,,https://aax-eu-zaz.amazon.in/x/c/JBbeQo88kWXonhOChAq_yFYAAAGcakPGZAoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICCDlip-/clv1c_ek-IBPHXbcbWXixXZLvfbmIzcdQ5IJeEmImcrYkB19r5pz_eL_H6xcuo6hgpKWXWY0w-uAW03zVFwPkCpc9qKx4rYHmG79fPzRq2RA1TYdG5mlfzy3nRXIs41epW0jLxUxI2He1PzR5ymhH0eZzF62f-Fsw01lXppmRwmqdrD4QVTCMFLmFIClhBruqlEFKpyKyOdY8AMDu8JVRddS6D83wdWHsVNsaevITPRMlbxjgysz4M76JUQzHagiw1Eh-fsLNsp_W5IbIVkGn8lOT2gBCPSL6tKktFGVqfuRwLMt6VBu_78zeRQ6fgtHifXSsKZXArP7vkNabbrYF_VHoakDX1xcelxE2DDhxddmaALo4jhTI3XA5g-v8ZX24xsJedt2gVKBcfFRqebAaKfEgsWKPhGihIM-u337-DVjZ8aYLW7IPCdnquYhJfL9-cjft1GkCwb2mESTrnwLK4kRi4pkx1ge9Mlf9YpYyZ18L1oJ0FBav9Uhid__2PhDcgWACdNgLzCmzCMUSIv43Mu1kGyWUEVGpv1G2l7-fBcytxnyRUsSGVVs0x-sYTSuD6kwkYto3PCFo5sDj72g-_12qj1WjODpJzbKbc2I23U2y5VLubV6AuFSCavjqMYOEDSPfYpgssuZkY-S-khSQGj62-Kh5_2pUw6N8QosFTqR-GA95_XTNrbvlu3P1K1jkr2wS6_5GesFZUvGy-DS7gUQ0-a0YANk6v6Rzh7-95QJZK6K6wU16aZhdpTls54XcNgZZw3EQHynj4DLTQABrUAmn1R-3qmfoW9elKit1pVcbWh8GsXVyutYm6rxgfQk7W80a0wZXYIFJp1Iy6UliQEogf30_mrmHylYc-APAhAki0NqikFYyc7JifIPic8UuhV7EGAiIAVKUZQoUF50B32BcwUOLRVgOVpkPmTPT0h1ZRiVTWxBxk2RLzM5BRyWGyiY8ZkHV6NYWID0fOUS2FsdGe0z2CAGtEg18y-Hr8fNCNHOPs5xcSzcIjVX5aoHRUxTDRQI_qYpkzHmx6pDG6lKcv3ua7Xv-Dr9-x3KvA9w2PhG3oOTiJYlTuFR9mUalh9cHhGOh9Ji1nZc9bZcKYSsH7Vq8DfjUXUWHfacNmZF9whAtIgDrZb0ctHgDtxvMIORN2_KZeCFef2RRWIYsg8BmpBewgKjgqvjkEcHyd5ZwiT7ehI0z8M4CX-TlzLW4ACY2FWHb_Hj0wlCzQB80DiSCd_x9Kij9HlIi2DaamxbUm8o9GK4SbMEzDfpdyuvKbF80rn5V4Y4yE98FewYH9Yyv6wOUFUcQuAqU_fW5pnLStUXVJKtVNeBBRXdySzg3bKPSZHGjFD7bStD6Vg4pMk9LQ_JPqTNUqTU43k9WiGXH4SKqGnomCFUA4nWemAK0jvLW7SzdVVK4p5JnDlZQOE0q8pialjGyNWMHOVgPmC3bBRoKD75j-lhhCQRqE_oCmDsluwdAJhuY6X5VAYE-vs31jFb3D-iXuY6uxLBBuSkM0ohrJe616ddoxpeeZ66_8Jriz_D4vzNMEcjPsWTTSo_1T54Z7Dts5SJmDxGhBzXOK4iVy0BfErRcmrTAFOX_TfJHD6s5ntq9TdbGz5mYD8C10s_n1eDmbB2-JmD9fodLiCFtInMcP9qwep0PHMfwxjKuJaSbF4hoHmDv_zUO4ns57hbE/https://www.amazon.in/Multiplication-Interactive-Activity-Colorful-Education/dp/B0G26V17NK/ref=sxbs_sbv_search_btf
"REDMI Note 15 5G (Mist Purple, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | Segment’s Slimmest Phone | 5520mAh Si/C Battery | 45W Fast Charging",24999.0,4.2,298,14.0,Redmi,https://www.amazon.in/Storage-Snapdragon-Segments-Slimmest-Charging/dp/B0G5G2KMQN/ref=sr_1_22
"iQOO Z9 5G (Graphene Blue, 8GB RAM, 256GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box",19499.0,4.3,6387,,iQOO,https://www.amazon.in/iQOO-Graphene-Dimensity-Processor-Brightness/dp/B07WHQLX7G/ref=sr_1_33
"realme 15X 5G Smartphone 8+256GB Marine Blue, 6.8-inch Screen, 144Hz Display,7000mAh Battery, 60W Fast Charging, 50+50MP AI Camera,Dimensity 6300 6nm Octa-core chipset Processor, IP69",21999.0,4.2,188,,realme,https://www.amazon.in/realme-15X-Smartphone-Dimensity-Octa-core/dp/B0FR9RVFL1/ref=sr_1_17
"Redmi A4 5G (Starry Black, 6GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",10999.0,4.0,12168,15.0,Redmi,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0FBRM15FH/ref=sr_1_9
